year,rows,races,elapsed_sec,entry_id_duplicates,ra_join_success_rate,o1_join_success_rate,tan_odds_available,fuku_odds_available,tan_pay_count,fuku_pay_count,target_win_count,target_ren_count,target_place_count,is_win_paid_count,is_place_paid_count,target_win_is_win_paid_mismatch_normal,target_place_is_place_paid_mismatch_normal,ijyocd_counts,tan_odds_non_positive_count,fuku_odds_low_gt_high_count
2016,50076,3454,2.182,0,1.0,1.0,17082,17082,3459,10355,3459,6916,10371,3459,10355,0,17,"{""0"": 49697, ""1"": 79, ""3"": 87, ""4"": 211, ""7"": 2}",0,0
2017,49838,3491,2.698,0,1.0,0.99255588,13982,13982,3458,10328,3458,6912,10370,3458,10328,0,45,"{""0"": 49461, ""1"": 76, ""3"": 75, ""4"": 221, ""7"": 5}",0,0
2018,49124,3491,2.87,0,1.0,0.98969954,13783,13783,3460,10322,3460,6916,10368,3460,10322,0,47,"{""0"": 48705, ""1"": 82, ""3"": 103, ""4"": 233, ""7"": 1}",0,0
2019,47933,3491,2.66,0,1.0,0.99340746,11618,11618,3457,10300,3457,6906,10359,3457,10300,0,62,"{""0"": 47477, ""1"": 64, ""3"": 165, ""4"": 223, ""7"": 4}",0,0
2020,48427,3466,2.715,0,1.0,1.0,11544,11544,3465,10326,3465,6917,10377,3465,10326,1,57,"{""0"": 48021, ""1"": 80, ""3"": 75, ""4"": 244, ""5"": 1, ""7"": 6}",0,0
2021,47821,3456,2.675,0,1.0,1.0,13795,13795,3465,10312,3465,6916,10376,3465,10312,0,64,"{""0"": 47476, ""1"": 81, ""3"": 80, ""4"": 184}",0,0
2022,47220,3456,2.677,0,1.0,1.0,14300,14300,3460,10292,3460,6918,10369,3460,10292,0,78,"{""0"": 46840, ""1"": 64, ""3"": 102, ""4"": 213, ""7"": 1}",0,0
2023,47672,3456,2.637,0,1.0,1.0,16426,16426,3459,10303,3459,6915,10375,3459,10303,0,73,"{""0"": 47273, ""1"": 78, ""3"": 101, ""4"": 219, ""7"": 1}",0,0
2024,47212,3456,2.704,0,1.0,1.0,12585,12585,3460,10274,3460,6915,10371,3460,10274,0,97,"{""0"": 46783, ""1"": 85, ""3"": 102, ""4"": 242}",0,0
2025,48058,3468,2.444,0,1.0,0.99671231,11499,11499,3461,10276,3461,6921,10376,3461,10276,0,100,"{""0"": 47671, ""1"": 58, ""3"": 111, ""4"": 218}",0,0
2026,22500,1584,1.163,0,1.0,0.97097778,6311,6311,1507,4500,1507,3016,4523,1507,4500,0,23,"{""0"": 22340, ""1"": 31, ""3"": 43, ""4"": 86}",0,0
