target,feature_set,data_split,rows,positive,negative,positive_rate
win,market_free,train,383401,27682,355719,0.07220116796774134
win,market_free,validation,46752,3460,43292,0.07400752908966461
win,market_free,test,47497,3461,44036,0.072867760069057
win,market_free,latest_holdout,21276,1507,19769,0.0708309832675315
win,market_history,train,383401,27682,355719,0.07220116796774134
win,market_history,validation,46752,3460,43292,0.07400752908966461
win,market_history,test,47497,3461,44036,0.072867760069057
win,market_history,latest_holdout,21276,1507,19769,0.0708309832675315
win,market_aware,train,383401,27682,355719,0.07220116796774134
win,market_aware,validation,46752,3460,43292,0.07400752908966461
win,market_aware,test,47497,3461,44036,0.072867760069057
win,market_aware,latest_holdout,21276,1507,19769,0.0708309832675315
place,market_free,train,383401,82522,300879,0.2152367886364407
place,market_free,validation,46752,10274,36478,0.21975530458590006
place,market_free,test,47497,10276,37221,0.21635050634776934
place,market_free,latest_holdout,21276,4500,16776,0.21150592216582065
place,market_history,train,383401,82522,300879,0.2152367886364407
place,market_history,validation,46752,10274,36478,0.21975530458590006
place,market_history,test,47497,10276,37221,0.21635050634776934
place,market_history,latest_holdout,21276,4500,16776,0.21150592216582065
place,market_aware,train,383401,82522,300879,0.2152367886364407
place,market_aware,validation,46752,10274,36478,0.21975530458590006
place,market_aware,test,47497,10276,37221,0.21635050634776934
place,market_aware,latest_holdout,21276,4500,16776,0.21150592216582065
