data_split,target,race_count,top1_winner_accuracy,top3_contains_winner_rate,tie_max_probability_races,feature_set,precision_at_k,recall_at_k,hit_race_rate
validation,win,3454,0.29820497973364213,0.6065431383902722,0,market_free,,,
test,win,3455,0.27814761215629524,0.5921852387843705,0,market_free,,,
latest_holdout,win,1506,0.26162018592297476,0.598937583001328,0,market_free,,,
validation,win,3454,0.2964678633468442,0.6071221771858715,0,market_history,,,
test,win,3455,0.2795947901591896,0.5918958031837916,0,market_history,,,
latest_holdout,win,1506,0.26095617529880477,0.5922974767596282,0,market_history,,,
validation,win,3454,0.3138390272148234,0.6268094962362478,0,market_aware,,,
test,win,3455,0.28683068017366137,0.6092619392185239,0,market_aware,,,
latest_holdout,win,1506,0.2815405046480744,0.6135458167330677,0,market_aware,,,
validation,place,3454,,,,market_free,0.4940648523451071,0.4928343949044586,0.9038795599305154
test,place,3455,,,,market_free,0.4835504100337674,0.48260974433188614,0.8975397973950796
latest_holdout,place,1506,,,,market_free,0.5048694112439132,0.5043160690571049,0.9143426294820717
validation,place,3454,,,,market_history,0.4939683458791739,0.49281026828797525,0.9099594672843081
test,place,3455,,,,market_history,0.48104196816208394,0.480077182826821,0.8992764109985528
latest_holdout,place,1506,,,,market_history,0.5044267374944665,0.503928729526339,0.9169986719787516
validation,place,3454,,,,market_aware,0.5027986875120632,0.5016164833043814,0.9090909090909091
test,place,3455,,,,market_aware,0.4938736131210805,0.4929329474191992,0.9024602026049204
latest_holdout,place,1506,,,,market_aware,0.5189243027888446,0.5184262948207171,0.9243027888446215
