year,se_rows,o1_matched_rows,o1_missing_rows,valid_tan_rows,null_tan_rows,invalid_tan_rows,valid_place_rows,null_place_rows,invalid_place_rows,valid_se_odds_rows,tan_coverage_rate,place_coverage_rate,o1_match_rate,se_odds_coverage_rate
1986,1,0,1,0,0,0,0,0,0,1,0.0,0.0,0.0,1.0
1987,3,0,3,0,0,0,0,0,0,3,0.0,0.0,0.0,1.0
1988,5,0,5,0,0,0,0,0,0,5,0.0,0.0,0.0,1.0
1989,5,0,5,0,0,0,0,0,0,5,0.0,0.0,0.0,1.0
1990,3,0,3,0,0,0,0,0,0,3,0.0,0.0,0.0,1.0
1991,3,0,3,0,0,0,0,0,0,3,0.0,0.0,0.0,1.0
1992,2,0,2,0,0,0,0,0,0,2,0.0,0.0,0.0,1.0
1993,7,0,7,0,0,0,0,0,0,7,0.0,0.0,0.0,1.0
1994,6,0,6,0,0,0,0,0,0,6,0.0,0.0,0.0,1.0
1995,2,0,2,0,0,0,0,0,0,2,0.0,0.0,0.0,1.0
1996,3,0,3,0,0,0,0,0,0,3,0.0,0.0,0.0,1.0
1997,2,0,2,0,0,0,0,0,0,2,0.0,0.0,0.0,1.0
1998,2,0,2,0,0,0,0,0,0,2,0.0,0.0,0.0,1.0
1999,10,0,10,0,0,0,0,0,0,10,0.0,0.0,0.0,1.0
2000,8,0,8,0,0,0,0,0,0,8,0.0,0.0,0.0,1.0
2001,5,0,5,0,0,0,0,0,0,5,0.0,0.0,0.0,1.0
2002,8,0,8,0,0,0,0,0,0,8,0.0,0.0,0.0,1.0
2003,8,0,8,0,0,0,0,0,0,8,0.0,0.0,0.0,1.0
2004,32,0,32,0,0,0,0,0,0,31,0.0,0.0,0.0,0.96875
2005,21,0,21,0,0,0,0,0,0,21,0.0,0.0,0.0,1.0
2006,25,0,25,0,0,0,0,0,0,23,0.0,0.0,0.0,0.92
2007,19,0,19,0,0,0,0,0,0,19,0.0,0.0,0.0,1.0
2008,28,0,28,0,0,0,0,0,0,28,0.0,0.0,0.0,1.0
2009,32,0,32,0,0,0,0,0,0,32,0.0,0.0,0.0,1.0
2010,27,0,27,0,0,0,0,0,0,27,0.0,0.0,0.0,1.0
2011,18,0,18,0,0,0,0,0,0,18,0.0,0.0,0.0,1.0
2012,20,0,20,0,0,0,0,0,0,20,0.0,0.0,0.0,1.0
2013,22,0,22,0,0,0,0,0,0,22,0.0,0.0,0.0,1.0
2014,16,0,16,0,0,0,0,0,0,16,0.0,0.0,0.0,1.0
2015,14,0,14,0,0,0,0,0,0,14,0.0,0.0,0.0,1.0
2016,50076,50076,0,17082,32994,0,17082,32994,0,49910,0.3411214953271028,0.3411214953271028,1.0,0.9966850387411135
2017,49838,49467,371,13982,35485,0,13982,35485,0,49148,0.2805489786909587,0.2805489786909587,0.992555881054617,0.9861551426622256
2018,49124,48618,506,13783,34835,0,13783,34835,0,48433,0.2805756860190538,0.2805756860190538,0.9896995358684146,0.9859335558993567
2019,47933,47617,316,11618,35999,0,11618,35999,0,47345,0.24237998873427494,0.24237998873427494,0.9934074645859846,0.9877328771410093
2020,48427,48427,0,11544,36883,0,11544,36883,0,48127,0.23837941644124144,0.23837941644124144,1.0,0.993805108720342
2021,47821,47821,0,13795,34026,0,13795,34026,0,47660,0.28847159197841954,0.28847159197841954,1.0,0.9966332782668702
2022,47220,47220,0,14300,32920,0,14300,32920,0,47054,0.30283778060144007,0.30283778060144007,1.0,0.9964845404489623
2023,47672,47672,0,16426,31246,0,16426,31246,0,47493,0.34456284611512,0.34456284611512,1.0,0.9962451753649941
2024,47212,47212,0,12585,34627,0,12585,34627,0,46994,0.26656358552910275,0.26656358552910275,1.0,0.9953825298652885
2025,48058,47900,158,11499,36401,0,11499,36401,0,47715,0.2392733780015814,0.2392733780015814,0.9967123059636273,0.9928627907944567
2026,22500,21847,653,6311,15536,0,6311,15536,0,21362,0.2804888888888889,0.2804888888888889,0.9709777777777778,0.9494222222222222
