column_name,value,o1_rows,valid_tan_rows,valid_fuku_rows,tan_valid_rate,fuku_valid_rate
TanFlag,7,538258,142925,142925,0.26553251414749063,0.26553251414749063
TanFlag,3,34,0,0,0.0,0.0
FukuFlag,7,538258,142925,142925,0.26553251414749063,0.26553251414749063
FukuFlag,3,34,0,0,0.0,0.0
WakurenFlag,7,525599,139352,139352,0.2651298803840951,0.2651298803840951
WakurenFlag,0,12639,3565,3565,0.2820634543872142,0.2820634543872142
WakurenFlag,3,34,0,0,0.0,0.0
WakurenFlag,1,20,8,8,0.4,0.4
DataKubun,5,537421,142925,142925,0.2659460646308946,0.2659460646308946
DataKubun,9,871,0,0,0.0,0.0
