year,timing_bucket,rows,missing_make_date_rows,min_days,max_days,valid_tan_rows,valid_fuku_rows,tan_valid_rate,fuku_valid_rate
2016,2_to_7_days_after,25541,0,2,3,9066,9066,0.3549586938647665,0.3549586938647665
2016,day_after,24535,0,1,1,8016,8016,0.32671693499082943,0.32671693499082943
2017,2_to_7_days_after,25850,0,2,4,7264,7264,0.28100580270793035,0.28100580270793035
2017,day_after,23254,0,1,1,6718,6718,0.28889653392964654,0.28889653392964654
2017,unknown,371,371,,,0,0,0.0,0.0
2017,same_day,363,0,0,0,0,0,0.0,0.0
2018,2_to_7_days_after,25153,0,2,4,6870,6870,0.27312845386236234,0.27312845386236234
2018,day_after,23465,0,1,1,6913,6913,0.29460899211591735,0.29460899211591735
2018,unknown,506,506,,,0,0,0.0,0.0
2019,2_to_7_days_after,24929,0,2,4,6076,6076,0.24373219944642785,0.24373219944642785
2019,day_after,22483,0,1,1,5452,5452,0.2424943290486145,0.2424943290486145
2019,unknown,316,316,,,0,0,0.0,0.0
2019,more_than_7_days_after,205,0,24,93,90,90,0.43902439024390244,0.43902439024390244
2020,2_to_7_days_after,25340,0,2,4,6127,6127,0.24179163378058405,0.24179163378058405
2020,day_after,23081,0,1,1,5411,5411,0.23443524977254018,0.23443524977254018
2020,more_than_7_days_after,6,0,439,439,6,6,1.0,1.0
2021,day_after,23882,0,1,1,6417,6417,0.2686960891047651,0.2686960891047651
2021,2_to_7_days_after,23567,0,2,3,7141,7141,0.30300844401069293,0.30300844401069293
2021,same_day,372,0,0,0,237,237,0.6370967741935484,0.6370967741935484
2022,2_to_7_days_after,23861,0,2,3,6681,6681,0.2799966472486484,0.2799966472486484
2022,day_after,23359,0,1,1,7619,7619,0.32616978466543944,0.32616978466543944
2023,2_to_7_days_after,23933,0,2,3,8562,8562,0.3577487151631638,0.3577487151631638
2023,day_after,23397,0,1,1,7864,7864,0.3361114672821302,0.3361114672821302
2023,same_day,342,0,0,0,0,0,0.0,0.0
2024,2_to_7_days_after,23769,0,2,3,6354,6354,0.26732298371828855,0.26732298371828855
2024,day_after,23443,0,1,1,6231,6231,0.26579362709550824,0.26579362709550824
2025,2_to_7_days_after,24894,0,2,3,6245,6245,0.25086366192656867,0.25086366192656867
2025,day_after,22990,0,1,1,5254,5254,0.22853414528055677,0.22853414528055677
2025,unknown,158,158,,,0,0,0.0,0.0
2025,more_than_7_days_after,16,0,13,13,0,0,0.0,0.0
2026,2_to_7_days_after,11466,0,2,4,2587,2587,0.2256235827664399,0.2256235827664399
2026,day_after,10381,0,1,1,3724,3724,0.35873229939312207,0.35873229939312207
2026,unknown,653,653,,,0,0,0.0,0.0
