table_name,cid,column_name,data_type,notnull,default_value,primary_key,inferred_role
NL_HR,82,TanUmaban,TEXT,0,,0,win payout horse-number candidate
NL_HR,83,TanPay,BIGINT,0,,0,win payout amount candidate
NL_HR,84,TanNinki,INTEGER,0,,0,popularity/rank
NL_HR,85,FukuUmaban,TEXT,0,,0,place payout horse-number candidate
NL_HR,86,FukuPay,BIGINT,0,,0,place payout amount candidate
NL_HR,87,FukuNinki,INTEGER,0,,0,popularity/rank
NL_HR,88,WakuKumi,TEXT,0,,0,combination/horse-number candidate
NL_HR,89,WakuPay,BIGINT,0,,0,payout/refund candidate
NL_HR,90,WakuNinki,INTEGER,0,,0,popularity/rank
NL_HR,91,UmarenKumi,TEXT,0,,0,combination/horse-number candidate
NL_HR,92,UmarenPay,BIGINT,0,,0,payout/refund candidate
NL_HR,93,UmarenNinki,INTEGER,0,,0,popularity/rank
NL_HR,94,WideKumi,TEXT,0,,0,combination/horse-number candidate
NL_HR,95,WidePay,BIGINT,0,,0,payout/refund candidate
NL_HR,96,WideNinki,INTEGER,0,,0,popularity/rank
NL_HR,100,UmatanKumi,TEXT,0,,0,combination/horse-number candidate
NL_HR,101,UmatanPay,BIGINT,0,,0,win payout amount candidate
NL_HR,102,UmatanNinki,INTEGER,0,,0,popularity/rank
NL_HR,103,SanrenfukuKumi,TEXT,0,,0,combination/horse-number candidate
NL_HR,104,SanrenfukuPay,BIGINT,0,,0,place payout amount candidate
NL_HR,105,SanrenfukuNinki,INTEGER,0,,0,popularity/rank
NL_HR,106,SanrentanKumi,TEXT,0,,0,combination/horse-number candidate
NL_HR,107,SanrentanPay,BIGINT,0,,0,win payout amount candidate
NL_HR,108,SanrentanNinki,INTEGER,0,,0,popularity/rank
NL_H1,18,FukuChakuBaraiKey,TEXT,0,,0,context
NL_H1,22,BetType,TEXT,0,,7,bet type discriminator
NL_H1,23,Kumi,TEXT,0,,8,combination or horse-number key
NL_H1,25,Ninki,INTEGER,0,,0,popularity/rank
NL_H1,26,TanHyoTotal,BIGINT,0,,0,context
NL_H1,27,FukuHyoTotal,BIGINT,0,,0,context
NL_H1,31,UmatanHyoTotal,BIGINT,0,,0,context
NL_H1,32,SanrenfukuHyoTotal,BIGINT,0,,0,context
NL_H1,33,TanHenkanHyoTotal,BIGINT,0,,0,context
NL_H1,34,FukuHenkanHyoTotal,BIGINT,0,,0,context
NL_H1,38,UmatanHenkanHyoTotal,BIGINT,0,,0,context
NL_H1,39,SanrenfukuHenkanHyoTotal,BIGINT,0,,0,context
