year,rows,columns,races,finalized_races,unfinalized_races,win_training_rows,place_training_rows,ranking_training_rows,entry_id_duplicates,history_cutoff_date_violation_count,horse_past_starts_max,elapsed_sec
2016,50076,160,3454,3454,0,49697,49697,49697,0,0,18,5.784
2017,49838,160,3491,3455,36,48922,48922,48922,0,0,34,5.972
2018,49124,160,3491,3454,37,48199,48199,48199,0,0,43,5.854
2019,47933,160,3491,3452,39,47118,47118,47118,0,0,51,6.184
2020,48427,160,3466,3456,10,47876,47876,47876,0,0,62,6.283
2021,47821,160,3456,3456,0,47476,47476,47476,0,0,63,6.239
2022,47220,160,3456,3456,0,46840,46840,46840,0,0,67,6.423
2023,47672,160,3456,3456,0,47273,47273,47273,0,0,74,7.049
2024,47212,160,3456,3454,2,46752,46752,46752,0,0,69,6.385
2025,48058,160,3468,3455,13,47497,47497,47497,0,0,79,6.172
2026,22500,160,1584,1506,78,21276,21276,21276,0,0,81,2.99
